eps,min_samples,silhouette_score,davies_bouldin_score,number_of_clusters,min_cluster_size,max_cluster_size,mean_cluster_size,cluster_size_75pct,cluster_size_25pct,total_noise_points
0.15,31,-0.5691726140827117,1.7167852551158418,32.0,8.0,27825.0,1263.375,51.25,22.0,27825
0.15,32,-0.5799523163910894,1.7123430074983834,34.0,2.0,28382.0,1189.0588235294117,49.25,21.25,28382
0.15,33,-0.5861583317418352,1.58829510233273,34.0,4.0,29007.0,1189.0588235294117,46.75,22.25,29007
0.15,34,-0.5848833196482273,1.6521300085241655,28.0,11.0,29466.0,1443.857142857143,54.0,24.5,29466
0.15,35,-0.5769575355422109,1.6426325492267326,27.0,15.0,30093.0,1497.3333333333333,48.5,29.0,30093
0.15,36,-0.5559604346790955,1.8128750791159374,26.0,10.0,30748.0,1554.923076923077,55.0,29.25,30748
0.15,37,-0.5422073262319371,1.7506082619174759,23.0,10.0,31265.0,1757.7391304347825,63.0,29.0,31265
0.15,38,-0.4993343482769207,1.821718481399622,28.0,6.0,31594.0,1443.857142857143,49.25,25.0,31594
0.15,39,-0.49727519186840424,1.7399405976103675,24.0,12.0,32024.0,1684.5,52.0,26.75,32024
0.15,40,-0.5059216844726572,1.6966206560918604,26.0,14.0,32586.0,1554.923076923077,63.75,23.0,32586
0.15,41,-0.47579921308916345,1.48168264206194,22.0,14.0,33109.0,1837.6363636363637,69.0,23.25,33109
0.15,42,-0.4769084741091729,1.4702343642723132,20.0,12.0,33547.0,2021.4,245.75,29.0,33547
0.15,43,-0.48822917618371137,1.4707603135659693,21.0,16.0,33886.0,1925.142857142857,162.0,29.0,33886
0.15,44,-0.49058360912075344,1.4036351582110453,23.0,13.0,34328.0,1757.7391304347825,221.5,28.0,34328
0.15,45,-0.49291376421575755,1.387903091077654,22.0,18.0,34792.0,1837.6363636363637,178.25,35.0,34792
0.15,46,-0.48041108010217665,1.327964602134419,25.0,23.0,35266.0,1617.12,160.0,38.0,35266
0.15,47,-0.4489304430526261,1.3175822135270487,19.0,23.0,35755.0,2127.7894736842104,174.0,38.0,35755
0.15,48,-0.443675277121039,1.2831348251751882,20.0,20.0,36046.0,2021.4,145.0,36.5,36046
0.15,49,-0.4380526966625816,1.2968542759992527,18.0,20.0,36272.0,2246.0,168.5,43.75,36272
0.15,50,-0.466371874091921,1.3864328681212086,19.0,20.0,36577.0,2127.7894736842104,134.0,50.5,36577
0.15,51,-0.4673000462491736,1.3792779080112756,16.0,20.0,36993.0,2526.75,137.5,51.0,36993
0.15,52,-0.4506824151661357,1.3907182569948051,14.0,14.0,37446.0,2887.714285714286,125.5,42.0,37446
0.15,53,-0.4538757282868786,1.4038681319751323,14.0,24.0,37661.0,2887.714285714286,125.25,54.0,37661
0.15,54,-0.4572971949082082,1.3735508352192145,16.0,24.0,37780.0,2526.75,112.75,54.0,37780
0.15,55,-0.4548516160082272,1.3883596218055427,15.0,24.0,38049.0,2695.2,92.5,47.5,38049
0.15,56,-0.45870245479474053,1.382566449587368,16.0,24.0,38132.0,2526.75,81.0,48.5,38132
0.15,57,-0.40622781718762535,1.3693261610942948,13.0,24.0,38439.0,3109.846153846154,86.0,57.0,38439
0.15,58,-0.404006469505248,1.3739722237278424,12.0,24.0,38648.0,3369.0,200.0,58.75,38648
0.15,59,-0.3718118759638982,1.3121800957048262,9.0,59.0,38834.0,4492.0,524.0,61.0,38834
0.15,60,-0.38231061601172567,1.3251906235509245,10.0,40.0,38936.0,4042.8,247.0,61.0,38936
0.15,61,-0.3792551483245657,1.2922839249747953,8.0,61.0,39077.0,5053.5,352.75,61.75,39077
0.15,62,-0.36633886299732993,1.2890563012231293,8.0,62.0,39352.0,5053.5,241.75,71.75,39352
0.15,63,-0.3219859939169267,1.313439527374099,7.0,65.0,39475.0,5775.428571428572,304.0,81.5,39475
0.15,64,-0.33544283600860153,1.3497445365657432,9.0,38.0,39535.0,4492.0,116.0,57.0,39535
0.15,65,-0.32072564656074043,1.3330493744940124,7.0,48.0,39622.0,5775.428571428572,275.5,68.0,39622
0.15,66,-0.3014024713501863,1.3282788945476816,6.0,67.0,39821.0,6738.0,263.75,70.25,39821
0.15,67,-0.30203199162287664,1.3283211379807833,6.0,67.0,39846.0,6738.0,245.75,70.0,39846
0.15,68,-0.28969150012821937,1.3807286742732376,4.0,70.0,39992.0,10107.0,10219.25,70.75,39992
0.15,69,-0.2948826477506692,1.3225342272725982,5.0,38.0,40012.0,8085.6,237.0,70.0,40012
0.15,70,-0.2948997147699003,1.3189426006432279,5.0,45.0,40033.0,8085.6,209.0,70.0,40033
0.15,71,-0.1624317509038649,1.1463766567839733,4.0,45.0,40103.0,10107.0,10182.5,64.5,40103
